file;is_color;gamma;distance;angles;pairs_count_before;pairs_count_after;corr_before;corr_after;corr_delta;gray_min_before;gray_max_before;gray_min_after;gray_max_after;gray_mean_before;gray_mean_after
image-0.2-2.jpeg.png;True;0.75;1;{0,90,180,270};850934;850934;0.9600128476412608;0.9690515571121036;0.009038709470842732;2;236;5;240;160.21203564727955;173.19351313320826
ratatouille.png;True;0.75;1;{0,90,180,270};5748602;5748602;0.9914833618869165;0.9915792382705987;9.587638368213636e-05;0;254;0;255;86.15069591212459;107.63833078420467
sample_phrase_52.bmp;False;0.75;1;{0,90,180,270};26196;26196;0.7480718601895349;0.7480718601895349;0.0;0;255;0;255;192.16836734693877;192.16836734693877
